datetime,open,high,low,close,volume
2025-01-01 22:00:00,196.634,196.771,196.568,196.722,2414
2025-01-01 23:00:00,196.688,197.521,196.658,197.422,6870
2025-01-02 00:00:00,197.426,197.478,196.925,197.049,8931
2025-01-02 01:00:00,197.051,197.315,197.016,197.201,9358
2025-01-02 02:00:00,197.2,197.206,197.064,197.133,6195
2025-01-02 03:00:00,197.133,197.145,196.932,197.011,6333
2025-01-02 04:00:00,197.013,197.017,196.777,196.812,5316
2025-01-02 05:00:00,196.811,197.019,196.757,197.019,5158
2025-01-02 06:00:00,197.016,197.016,196.287,196.288,7503
2025-01-02 07:00:00,196.288,196.445,195.985,196.17,10379
2025-01-02 08:00:00,196.186,196.34,195.551,195.94,13441
2025-01-02 09:00:00,195.941,196.039,195.676,195.71,9978
2025-01-02 10:00:00,195.709,196.054,195.547,195.574,10936
2025-01-02 11:00:00,195.568,195.78,195.471,195.772,10336
2025-01-02 12:00:00,195.772,195.811,195.042,195.085,10586
2025-01-02 13:00:00,195.089,195.101,194.363,194.525,14194
2025-01-02 14:00:00,194.508,194.876,194.232,194.691,14701
2025-01-02 15:00:00,194.693,194.8,194.194,194.467,15980
2025-01-02 16:00:00,194.466,195.13,194.38,195.093,14951
2025-01-02 17:00:00,195.091,195.314,194.745,194.944,12333
2025-01-02 18:00:00,194.953,195.061,194.804,194.811,9662
2025-01-02 19:00:00,194.82,195.097,194.782,194.954,8616
2025-01-02 20:00:00,194.954,195.187,194.954,195.113,6573
2025-01-02 21:00:00,195.111,195.125,195.037,195.057,1847
2025-01-02 22:00:00,194.75,194.937,194.72,194.904,2392
2025-01-02 23:00:00,194.972,195.026,194.788,194.8,4233
2025-01-03 00:00:00,194.794,194.906,194.681,194.73,7507
2025-01-03 01:00:00,194.729,194.935,194.694,194.791,6695
2025-01-03 02:00:00,194.789,194.959,194.751,194.922,6850
2025-01-03 03:00:00,194.919,195.148,194.813,194.963,6489
2025-01-03 04:00:00,194.963,195.058,194.89,194.928,6788
2025-01-03 05:00:00,194.934,195.003,194.867,194.979,7347
2025-01-03 06:00:00,194.965,195.036,194.891,194.951,6404
2025-01-03 07:00:00,194.932,194.967,194.64,194.843,10251
2025-01-03 08:00:00,194.844,195.13,194.844,194.989,10250
2025-01-03 09:00:00,194.97,195.178,194.908,195.086,9179
2025-01-03 10:00:00,195.087,195.101,194.729,195.021,8206
2025-01-03 11:00:00,195.032,195.252,195.019,195.092,8263
2025-01-03 12:00:00,195.09,195.143,194.881,194.988,8243
2025-01-03 13:00:00,194.99,195.071,194.834,194.925,9643
2025-01-03 14:00:00,194.928,195.242,194.835,194.955,10161
2025-01-03 15:00:00,195.159,195.307,195.002,195.246,14863
2025-01-03 16:00:00,195.248,195.366,195.124,195.204,9859
2025-01-03 17:00:00,195.205,195.231,194.934,195.176,9015
2025-01-03 18:00:00,195.178,195.27,195.144,195.198,6689
2025-01-03 19:00:00,195.192,195.376,195.182,195.366,5311
2025-01-03 20:00:00,195.363,195.526,195.311,195.514,5323
2025-01-03 21:00:00,195.512,195.543,195.455,195.503,1635
2025-01-05 22:00:00,195.12,195.403,195.096,195.332,3177
2025-01-05 23:00:00,195.401,195.79,195.37,195.689,6287
2025-01-06 00:00:00,195.691,196.015,195.676,195.874,11129
2025-01-06 01:00:00,195.87,196.072,195.777,195.999,8519
