datetime,open,high,low,close,volume
2025-01-01 22:00:00,157.12,157.246,157.12,157.226,1015
2025-01-01 23:00:00,157.229,157.78,157.206,157.7,4202
2025-01-02 00:00:00,157.714,157.771,157.298,157.438,7114
2025-01-02 01:00:00,157.44,157.666,157.418,157.51,6473
2025-01-02 02:00:00,157.507,157.508,157.264,157.287,4134
2025-01-02 03:00:00,157.286,157.304,157.129,157.155,3925
2025-01-02 04:00:00,157.156,157.156,156.992,157.02,3716
2025-01-02 05:00:00,157.019,157.21,156.972,157.209,3810
2025-01-02 06:00:00,157.21,157.213,156.66,156.664,5640
2025-01-02 07:00:00,156.656,156.747,156.435,156.669,7681
2025-01-02 08:00:00,156.67,156.829,156.463,156.78,9505
2025-01-02 09:00:00,156.777,156.922,156.751,156.792,6342
2025-01-02 10:00:00,156.8,157.163,156.789,157.135,6440
2025-01-02 11:00:00,157.135,157.285,157.054,157.204,6684
2025-01-02 12:00:00,157.204,157.216,157.017,157.075,6581
2025-01-02 13:00:00,157.076,157.239,156.722,156.827,9830
2025-01-02 14:00:00,156.81,157.116,156.635,157.023,10912
2025-01-02 15:00:00,157.026,157.187,156.784,157.151,11496
2025-01-02 16:00:00,157.15,157.752,157.133,157.66,10210
2025-01-02 17:00:00,157.66,157.85,157.493,157.569,7768
2025-01-02 18:00:00,157.568,157.636,157.465,157.499,5551
2025-01-02 19:00:00,157.499,157.675,157.472,157.619,4824
2025-01-02 20:00:00,157.619,157.657,157.565,157.628,3339
2025-01-02 21:00:00,157.629,157.63,157.553,157.563,1214
2025-01-02 22:00:00,157.412,157.469,157.412,157.435,570
2025-01-02 23:00:00,157.454,157.568,157.355,157.358,2424
2025-01-03 00:00:00,157.356,157.404,157.173,157.212,5581
2025-01-03 01:00:00,157.211,157.408,157.188,157.278,4653
2025-01-03 02:00:00,157.279,157.357,157.248,157.311,5038
2025-01-03 03:00:00,157.309,157.458,157.185,157.309,4719
2025-01-03 04:00:00,157.31,157.39,157.249,157.282,5061
2025-01-03 05:00:00,157.284,157.358,157.24,157.301,5337
2025-01-03 06:00:00,157.293,157.293,157.129,157.172,4212
2025-01-03 07:00:00,157.163,157.266,157.04,157.141,6813
2025-01-03 08:00:00,157.139,157.428,157.128,157.332,6455
2025-01-03 09:00:00,157.327,157.335,157.087,157.254,6181
2025-01-03 10:00:00,157.253,157.384,157.165,157.373,4882
