datetime,open,high,low,close,volume
2025-01-01 22:00:00,162.634,162.887,162.468,162.833,2555
2025-01-01 23:00:00,162.816,163.314,162.73,163.24,5201
2025-01-02 00:00:00,163.252,163.298,162.884,162.986,8708
2025-01-02 01:00:00,162.987,163.248,162.884,163.154,9105
2025-01-02 02:00:00,163.152,163.198,163.065,163.128,5671
2025-01-02 03:00:00,163.13,163.142,162.991,163.002,5116
2025-01-02 04:00:00,163.004,163.026,162.802,162.83,5045
2025-01-02 05:00:00,162.829,162.943,162.777,162.936,5141
2025-01-02 06:00:00,162.937,162.937,162.363,162.369,7797
2025-01-02 07:00:00,162.367,162.525,162.199,162.362,10209
2025-01-02 08:00:00,162.361,162.59,161.964,162.474,13365
2025-01-02 09:00:00,162.475,162.601,162.283,162.313,10684
2025-01-02 10:00:00,162.311,162.556,162.028,162.119,11160
2025-01-02 11:00:00,162.116,162.443,162.067,162.435,10631
2025-01-02 12:00:00,162.431,162.463,162.037,162.082,10490
2025-01-02 13:00:00,162.083,162.274,161.696,161.751,13725
2025-01-02 14:00:00,161.736,161.985,161.626,161.839,14619
2025-01-02 15:00:00,161.808,161.928,161.418,161.467,16069
2025-01-02 16:00:00,161.467,161.801,160.894,161.785,15328
2025-01-02 17:00:00,161.781,161.968,161.631,161.744,13546
2025-01-02 18:00:00,161.748,161.815,161.542,161.545,11309
2025-01-02 19:00:00,161.546,161.693,161.495,161.585,9907
2025-01-02 20:00:00,161.587,161.787,161.587,161.754,7688
2025-01-02 21:00:00,161.757,161.774,161.727,161.745,1445
2025-01-02 22:00:00,161.5,161.635,161.452,161.609,1692
2025-01-02 23:00:00,161.642,161.755,161.566,161.574,3277
2025-01-03 00:00:00,161.572,161.632,161.468,161.505,6153
2025-01-03 01:00:00,161.504,161.633,161.458,161.487,6568
2025-01-03 02:00:00,161.486,161.645,161.458,161.596,6127
2025-01-03 03:00:00,161.594,161.724,161.444,161.568,5427
2025-01-03 04:00:00,161.569,161.618,161.502,161.525,5009
2025-01-03 05:00:00,161.526,161.614,161.469,161.576,5230
2025-01-03 06:00:00,161.575,161.594,161.497,161.563,4601
2025-01-03 07:00:00,161.562,161.73,161.388,161.55,10116
2025-01-03 08:00:00,161.549,161.842,161.549,161.742,10306
2025-01-03 09:00:00,161.743,161.919,161.714,161.819,9965
2025-01-03 10:00:00,161.819,161.847,161.619,161.802,8073
2025-01-03 11:00:00,161.803,161.994,161.793,161.921,7634
2025-01-03 12:00:00,161.922,161.954,161.733,161.817,8451
2025-01-03 13:00:00,161.819,161.903,161.7,161.792,9263
2025-01-03 14:00:00,161.793,161.972,161.726,161.748,9942
2025-01-03 15:00:00,161.851,162.077,161.731,161.953,14374
2025-01-03 16:00:00,161.952,162.054,161.725,161.777,9854
2025-01-03 17:00:00,161.777,161.87,161.629,161.853,9002
2025-01-03 18:00:00,161.854,161.889,161.785,161.839,6277
2025-01-03 19:00:00,161.831,161.947,161.791,161.937,4762
2025-01-03 20:00:00,161.936,162.159,161.902,162.147,5400
2025-01-03 21:00:00,162.148,162.209,162.113,162.179,1705
2025-01-05 22:00:00,161.878,162.094,161.858,162.059,2447
2025-01-05 23:00:00,162.074,162.336,162.074,162.314,5110
2025-01-06 00:00:00,162.326,162.502,162.296,162.364,9359
2025-01-06 01:00:00,162.365,162.559,162.313,162.542,7767
2025-01-06 02:00:00,162.542,162.758,162.517,162.703,6652
2025-01-06 03:00:00,162.701,162.776,162.613,162.707,6110
2025-01-06 04:00:00,162.708,162.746,162.601,162.692,4560
2025-01-06 05:00:00,162.695,162.811,162.637,162.652,5389
2025-01-06 06:00:00,162.651,162.679,162.549,162.58,6868
2025-01-06 07:00:00,162.578,162.831,162.492,162.824,7132
2025-01-06 08:00:00,162.827,163.219,162.823,163.185,10793
2025-01-06 09:00:00,163.184,163.516,162.983,163.346,12147
2025-01-06 10:00:00,163.352,163.381,163.178,163.197,8883
2025-01-06 11:00:00,163.19,164.023,163.127,163.836,16788
2025-01-06 12:00:00,163.838,163.862,162.977,163.224,14599
2025-01-06 13:00:00,163.236,163.276,162.927,163.142,15257
2025-01-06 14:00:00,163.146,163.519,162.598,163.468,16597
2025-01-06 15:00:00,163.468,163.784,163.417,163.731,15269
2025-01-06 16:00:00,163.73,163.841,163.569,163.796,11201
2025-01-06 17:00:00,163.793,163.793,163.531,163.612,8379
2025-01-06 18:00:00,163.613,163.664,163.49,163.551,8183
2025-01-06 19:00:00,163.552,163.694,163.499,163.662,7981
2025-01-06 20:00:00,163.663,163.75,163.628,163.739,5524
2025-01-06 21:00:00,163.74,163.811,163.722,163.766,1769
2025-01-06 22:00:00,163.533,163.772,163.205,163.724,2383
2025-01-06 23:00:00,163.729,163.863,163.729,163.787,3707
2025-01-07 00:00:00,163.785,164.273,163.783,164.181,10448
2025-01-07 01:00:00,164.174,164.393,164.098,164.347,9107
2025-01-07 02:00:00,164.348,164.384,164.208,164.331,6531
2025-01-07 03:00:00,164.329,164.382,164.271,164.335,5808
2025-01-07 04:00:00,164.333,164.351,164.222,164.276,4703
2025-01-07 05:00:00,164.277,164.358,164.113,164.126,6721
2025-01-07 06:00:00,164.125,164.15,163.973,164.029,7061
2025-01-07 07:00:00,164.014,164.248,163.981,164.026,11165
2025-01-07 08:00:00,164.028,164.171,163.797,164.119,12365
2025-01-07 09:00:00,164.122,164.442,164.09,164.323,10001
2025-01-07 10:00:00,164.315,164.55,164.144,164.5,10066
2025-01-07 11:00:00,164.498,164.507,164.13,164.234,8810
2025-01-07 12:00:00,164.233,164.324,163.841,163.885,9577
2025-01-07 13:00:00,163.884,164.055,163.82,163.925,9836
2025-01-07 14:00:00,163.924,164.054,163.741,163.905,11282
2025-01-07 15:00:00,163.906,164.234,163.629,163.827,16792
2025-01-07 16:00:00,163.829,163.86,163.544,163.649,14104
2025-01-07 17:00:00,163.647,163.686,163.389,163.486,10787
2025-01-07 18:00:00,163.485,163.5,163.358,163.436,9049
2025-01-07 19:00:00,163.437,163.463,163.37,163.383,6299
2025-01-07 20:00:00,163.38,163.381,163.21,163.309,6894
